,iso_name,gen_pw_label,station_code,distance_mi
8550,MISO,ADAMS_G ADAMS__1_UNIT,KMSP,90.7998487248201
15122,MISO,ADAMS_WD ADAMSWD1_UNIT,KMSP,73.5647798110614
1944,MISO,AMAE AMANA,KDSM,94.3421943981584
17424,MISO,ASH2 ASH2_MPC_UNIT,KFAR,59.7281474380589
17318,MISO,ASHTBULA ASHTBOTP_UNIT,KFAR,61.9155877151452
17212,MISO,ASHTBULA ASH_MPC_UNIT,KFAR,61.9750498318515
17106,MISO,ASHTBULA ASH_NEXTERA_UN,KFAR,62.0347626740464
629,MISO,ATCHISNM FARMER_UNIT,KSTJ,51.1127669641589
603,MISO,ATCHISNM FARMER_UNIT,KOMA,67.5380561512809
593,MISO,ATCHISNM FARMER_UNIT,KMCI,84.6199237258185
632,MISO,ATCHISNM FARMER_UNIT,KTOP,91.1184374865477
16576,MISO,AVERILL AVERIL_2_UNIT,KFAR,2.72441431613611
8734,MISO,BCWINSP BCWINS_1_UNIT,KFSD,64.9894358094099
900,MISO,BENTONCO BENTNC_WF_CIN,KIND,87.0807598217052
922,MISO,BENTONCO BENTNC_WF_CIN,KORD,94.5798721365628
205,MISO,BGR_WIND BGRIDGE_JOU,KSTJ,42.4019784749879
169,MISO,BGR_WIND BGRIDGE_JOU,KMCI,65.7434552715876
142,MISO,BGR_WIND BGRIDGE_JOU,KDSM,98.2897421653316
16657,MISO,BISONMP BISON1_UNIT,KBIS,48.5965890866929
9501,MISO,BLUSKYGF BLUSKYGF_UNIT,KMKE,54.045199776327
9503,MISO,BLUSKYGF BLUSKYGF_UNIT,KMSN,69.4507640987383
3752,MISO,BROOKE BROOKE_1_UNIT,KFSD,85.4769516087782
13716,MISO,BUFFRID BUFFR_TR1_UNIT,KFSD,51.3461986206731
13822,MISO,BUFFRID BUFFR_TR2_UNIT,KFSD,51.4676452051016
5579,MISO,BULRIDGE BULTER_RIDGE_1,KMKE,38.4959172107845
5581,MISO,BULRIDGE BULTER_RIDGE_1,KMSN,46.0148999097534
5586,MISO,BULRIDGE BULTER_RIDGE_1,KORD,96.9495327548651
2792,MISO,BVRCRFBC BEAVERCR_UNIT1,KDSM,62.3052445228931
264,MISO,CALFRIDG H100,KIND,78.5315892674609
2368,MISO,CARROLL CARROL_1_UNIT,KDSM,72.8472943716029
2405,MISO,CARROLL CARROL_1_UNIT,KOMA,76.167668467246
11596,MISO,CHANDGRE CHANDG_1_UNIT,KFSD,45.3783178391504
12550,MISO,CHARAMB CHARA_TR1_UNIT,KFSD,45.9346439239038
12444,MISO,CHARAMB CHARA_TR2_UNIT,KFSD,46.0256126283872
